EAN,ID,Type,sub_type,Count,main_ingredient,sub_ingredient1,sub_ingredient2,sub_ingredient3,sub_ingredient4,sub_ingredient5,sub_ingredient6,sub_ingredient7,diet_type,meat_type,is_new,Price_per_100g,Price_per_stuck,Weight(g),Brennwert(KJ),Brennwert(Kcal),Fett(g),gesättigte Fettsäuren(g),Kohlenhydrate(g),Zucker(g),Ballaststoffe(g),Eiweiß(g),Salz(g),Enthält,Allergic_material,Religious_kosher,Zutaten
M46,4260705920584,Aloha,Bowl,1,gelben Rettich,Edamame,Gurken,Avocado,Tosago,Wakame,,,veg,,TRUE,1.5,8.99,600,519,123,3.3,0.5,20,4.5,0.9,3,2,"Eigelb, Sesamöl, Sojabohnen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Gurke 6%, Avocado 6%, Edamame 9% (grüne Sojabohnen, blanchiert, tiefgefroren), Wakame 5% [Seealgen (88 %) Chili, Fruktose, Marinade (Sesamöl, Sojasauce (Sojabohnen, Weizen, Salz, Zucker), Essig, Wasser, Farbstoffe (E100, 133))]. Kann Spuren von Krebstieren, Ei, Fisch, Milch und Senf enthalten.), Rettich 5% (Rettich 90%, Wasser Salz, Säuerungsmittel: E260, E 330, Konservierungsstoffe: E 202, E223; Süßungsmittel: E 950, E 951 (Aspartam), E 954; Farbstoff: E 101), Tosago 3% (Seealgenextrakt (61%), Invertzuckersirup, Salz, Aroma, Säuerungsmittel: E 330, Konservierungsstoffe: E 202, E 211; Farbstoffe: E 160c, E 160a), Sesamsoße 8% Pflanzenöl (Sojabohnen- und Rapsöl), Sojasoße (Wasser, Sojabohnen, Weizen, Salz), Apfelessig, Wasser, Zucker Sesam (5%), Shiitakepilzextrakt, Gewürze (enthält Senf und Sesam), Salz, Hefeextrakt, Eigelb, Säureregulator: E262, Verdickungsmittel: E415)"
M47,4260705920591,Maui,Bowl,1,gelben Rettich,Edamame,Gurken,Avocado,Lachs,Wakame,,,meat,sea,TRUE,1.75,10.49,600,517,123,3.3,0.5,19,3.8,1,3.5,2.1,"Eigelb, Eiklar, Fisch, Lachs, Milch, Senf, Sesamsamen, Sojabohnen, Weizen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Lachs 6% (Salmo salar), Gurke 6%, Avocado 6%, Edamame 9% (grüne Sojabohnen, blanchiert, tiefgefroren), Wakame 5% [Seealgen (88 %) Chili, Fruktose, Marinade (Sesamöl, Sojasauce (Sojabohnen, Weizen, Salz, Zucker), Essig, Wasser, Farbstoffe (E100, 133))]. Kann Spuren von Krebstieren, Ei, Fisch, Milch und Senf enthalten.), Rettich 5% (Rettich 90%, Wasser Salz, Säuerungsmittel: E260, E 330, Konservierungsstoffe: E 202, E223; Süßungsmittel: E 950, E 951 (Aspartam), E 954; Farbstoff: E 101), Sesamsoße 8% (Pflanzenöl (Sojabohnen- und Rapsöl), Sojasoße (Wasser, Sojabohnen, Weizen, Salz), Apfelessig, Wasser, Zucker Sesam (5%), Shiitakepilzextrakt, Gewürze (enthält Senf und Sesam), Salz, Hefeextrakt, Eigelb, Säureregulator: E262, Verdickungsmittel: E415)"
M48,4260705920607,Honshu,Bowl,1,Edamame,Avocado,Thunfisch,Lachs,Garnelen,Wakame,,,meat,sea,TRUE,2.08,12.49,600,585,139,4.2,0.7,18,3.3,0.8,6.6,1.7,"Eigelb, Fisch, Senf, Sesamöl, Sojabohnen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Edamame 9% (Sojabohnen, Salz), Lachs 6% (Salmo salar), Avocado 6%, Kaltwasser-Garnelen 6% (MSC Grönland-Schrimps), Thunfisch 6%, Wakame 6% [Seealgen (88 %) Chili, Fruktose, Marinade (Sesamöl, Sojasauce (Sojabohnen, Weizen, Salz, Zucker), Essig, Wasser, Farbstoffe (E100, 133))], Sesamsoße 8% (Pflanzenöl (Sojabohnen- und Rapsöl), Sojasoße (Wasser, Sojabohnen, Weizen, Salz), Apfelessig, Wasser, Zucker Sesam (5%), Shiitakepilzextrakt, Gewürze (enthält Senf und Sesam), Salz, Hefeextrakt, Eigelb, Säureregulator: E262, Verdickungsmittel: E415), Sesam"
M49,4260705920614,Sun-Oce,Salat,1,Lachs,Jakobsmuscheln,Thunfisch,Avocado,Wafu,,,,meat,sea,TRUE,6.81,14.99,220,554,133,8,1.3,6.6,5.5,1.3,8.1,1.1,"Fisch, Lachs, Sesamsamen, Soja, Sojabohnen, Thunfisch, Weizen",TRUE,,"Lollo Bionda 23%, Lachs 14% (Salmo salar), Thunfisch 14%, Jakobsmuscheln 11% (Tiefseescallops), Avocado 14%, Seealgen, roter Pfeffer, Sesam, Wafu Dressing (Sojasoße (Weizen, Sojabohnen, Salz, Wasser), Fructose-Glukose-Sirup, Getreideessig, Sojaöl, Rapsöl, Wasser, Zitonensaft, Senf (Senfsaat, Getreideessig, Salz Apfelsaft, Zucker, Gewürze, Wasser), Wasabi (0,4%), Gewürze, Hefeextrakt, Aroma (enthält Wasabiöl), Verdickungsmittel: E415, E412; Farbstoff: E 100)"
M50,4260705920621,Kav- Cir,Donut,2,Lachs,Avocado,Thunfisch,Kaviar,rote Zwiebeln,Frühlingszwiebeln,,,meat,sea,TRUE,5.9,12.99,220,609,144,3.9,0.7,21,3.9,1.1,5.6,1.9,"Fisch, Sesamsamen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Lachs 8% (Salmo salar), Thunfisch 8%, Avocado 8%, Kaviar 1% (Forellenrogen, Salz), Sesam, rote Zwiebel, Frühlingszwiebel"
M51,4260705920638,Don- Tim,Donut,2,Lachs,Avocado,rote Zwiebeln,Frühlingszwiebeln,scharfer Majonäse,Sesam,,,meat,sea,TRUE,4.58,10.99,240,686,164,3.9,0.7,21,3.9,1.1,5.6,1.9,"Eigelb, Fisch, Sesamsamen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Lachs 11% (Salmo salar), Avocado 15%, Sesam, rote Zwiebel, Frühlingszwiebel, Mayonnaise (Sonnenblumenöl, Wasser, Eigelb, Essig, Salz, Dextrose), Sriracha (Chili 51%, Zucker, Knoblauch, Salz, Wasser, Säuerungsmittel: E330, E260, Geschmacksverstärker E621, Verdickungsmitteln E415, Konservierungsstoff E202), Zucker, Shichimi (Chilipfeffer, Orangenschalen, weißer Sesam, schwarzer Sesam, Seetang, japanischer Pfeffer, Ingwer)"
MS01a,4260705920263,Ben-No1,Selection,56,Lachs,Avocado,Hühnchen knusperig,scharfes Lachstatar,gegrilltem Tintenfisch,frittierte Garnele,,,meat,mix,TRUE,5.05,52.99,1050,655,156,5.3,1.3,20,4.1,1.2,6.5,1.8,"Eigelb, Fisch, Lachs, Sesamsamen, Soja, Sojabohnen, Tintenfisch, Weizen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Lachs 14% (Salmo salar), Avocado 9%, Gurke 5%, frittierte Garnelen 4% (Garnelen, Weizenmehl, modifizierte Stärke Sojaöl, Salz, Palmöl, Zucker, Hefe, Verdickungsmittel: E412, Stabilisatoren: E451, E452, Emulgator: E471, Gewürzextrakt), Tintenfisch 3%, gebratenes Hähnchenbrustfilet 2% (Hähnchenbrustfilet 99%,Salz, Pfeffer), Mayonnaise (Sonnenblumenöl, Wasser, Eigelb, Essig, Salz, Dextrose), Sriracha (Chili 51%, Zucker, Knoblauch, Salz, Wasser, Säuerungsmittel: E330, E260, Geschmacksverstärker E621, Verdickungsmitteln E415, Konservierungsstoff E202), Zucker, Shichimi (Chilipfeffer, Orangenschalen, weißer Sesam, schwarzer Sesam, Seetang, japanischer Pfeffer, Ingwer), Sesam, Sushisoße (Sojasauce (Sojabohnen, Weizen, Salz, Alkohol, Wasser), Zucker, Wasser, fermentieres Reisgewürz (Reis, Glukose, Glukose-Fructose Sirup, Stärkesirup, Zucker, Alkohol, Salz, Wasser), Reiswein, Branntweinessig, Hefeextrakt, modifizierte Maisstärke, Farbstoff: E 150a), Röstzwiebeln (Zwiebeln (72%), nachhaltiges Palmöl, Buchweizen, Reisstärke, Salz), Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
MS02a,4260705920270,Ben-Fam-Fri,Selection,67,Lachs,Avocado,Gurke,Thunfisch,Hühnchen knusperig,Frischkäse,,,meat,sea,TRUE,5.07,54.99,1215,647,154,5.3,1.4,19,4.2,1,6.8,1.8,"Eigelb, Lachs, Milch, Sesamsamen, Sojabohnen, Thunfisch, Weizen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Lachs 14% (Salmo salar), Avocado 7%, Gurke 7%, Thunfisch 7%, Frischkäse 2% (Molkenerzeugnisse aus Milch), Speisesalz, gebratenes Hähnchenbrustfilet 2% (Hähnchenbrustfilet 99%,Salz, Pfeffer), Mayonnaise (Sonnenblumenöl, Wasser, Eigelb, Essig, Salz, Dextrose), Sriracha (Chili 51%, Zucker, Knoblauch, Salz, Wasser, Säuerungsmittel: E330, E260, Geschmacksverstärker E621, Verdickungsmitteln E415, Konservierungsstoff E202), Zucker, Shichimi (Chilipfeffer, Orangenschalen, weißer Sesam, schwarzer Sesam, Seetang, japanischer Pfeffer, Ingwer), Sesam, Sushisoße (Sojasauce (Sojabohnen, Weizen, Salz, Alkohol, Wasser), Zucker, Wasser, fermentieres Reisgewürz (Reis, Glukose, Glukose-Fructose Sirup, Stärkesirup, Zucker, Alkohol, Salz, Wasser), Reiswein, Branntweinessig, Hefeextrakt, modifizierte Maisstärke, Farbstoff: E 150a), Kopfsalat, Reispapier (Reismehl, Tapiokamehl,Wasser, Salz), Röstzwiebeln(Zwiebeln 72%, nachhaltiges Palmöl, Buchweizen, Reisstärke, Salz), Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
MS03a,4260705920287,Ben-Aft-Wor,Selection,72,Lachs,Avocado,Gurke,Hühnchen,Frischkäse,Rettich,,,meat,mix,TRUE,3.82,45.99,1205,589,140,4,0.9,21,4,1.3,4.4,1.9,"Lachs, Milch, Sesamsamen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Lachs 7% (Salmo salar), Avocado 11%, Gurke 10%, Rettich 4% (Rettich 90%, Wasser Salz, Säuerungsmittel: E260, E 330, Konservierungsstoffe: E 202, E223; Süßungsmittel: E 950, E 951 (Aspartam), E 954; Farbstoff: E 101), Frischkäse 2% (Molkenerzeugnisse aus Milch), gebratenes Hähnchenbrustfilet 1% (Hähnchenbrustfilet 99%,Salz, Pfeffer), Tosago 6% (Seealgenextrakt (61%), Invertzuckersirup, Salz, Aroma, Säuerungsmittel: E 330, Konservierungsstoffe: E 202, E 211; Farbstoffe: E 160c, E 160a), Reispapier (Reismehl, Tapiokamehl,Wasser, Salz), Kopfsalat, Sesam, Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
MS04,4260705920294,Ben-Lun,Selection,21,Lachs,Gurke,Surimi,Röstzwiebeln,Salat,Avocado,,,meat,sea,,4.26,15.99,375,645,153,4.7,1.4,21,4.3,0.9,6.4,1.8,"Eigelb, Eiklar, Fisch, Lachs, Sesamsamen, Sojabohnen, Weizen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Lachs 17% (Salmo salar), Gurke 8%, Avocado 4%, Surimi 4% (Surimi 50% (Alaska Seelachs, Seehecht, Zucker), Wasser, Stärke (enthält Weizen glutenfrei) Eiklar, Zucker, Salz, Krabbenaroma, modifizierte Stärke, Farbstoffe E160c, E120), Sushisoße (Sojasauce (Sojabohnen, Weizen, Salz, Alkohol, Wasser), Zucker, Wasser, fermentieres Reisgewürz (Reis, Glukose, Glukose-Fructose Sirup, Stärkesirup, Zucker, Alkohol, Salz, Wasser), Reiswein, Branntweinessig, Hefeextrakt, modifizierte Maisstärke, Farbstoff: E 150a), Mayonnaise (Sonnenblumenöl, Wasser, Eigelb, Essig, Salz, Dextrose), Sriracha (Chili 51%, Zucker, Knoblauch, Salz, Wasser, Säuerungsmittel: E330, E260, Geschmacksverstärker E621, Verdickungsmitteln E415, Konservierungsstoff E202), Zucker, Shichimi (Chilipfeffer, Orangenschalen, weißer Sesam, schwarzer Sesam, Seetang, japanischer Pfeffer, Ingwer), Sesam, Kopfsalat, Reispapier (Reismehl, Tapiokamehl,Wasser, Salz), Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
MS05a,4260705920300,Ben-Veg,Selection,20,Gurke,Karotten,Avocado,Röstzwiebeln,Wakame,gelber Rettich,Frischkäse,,veg,,,3.87,15.49,400,590,140,4.2,1.6,22,5.6,1.1,3.1,2.3,"Milch, Sesamöl, Sesamsamen, Sojabohnen, Weizen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl) Gurke 12,5%, Rettich 15% (Rettich 90%, Wasser Salz, Säuerungsmittel: E260, E 330, Konservierungsstoffe: E 202, E223; Süßungsmittel: E 950, E 951 (Aspartam), E 954; Farbstoff: E 101), Avocado 10%, Sesam, Algensalat 1,5 % [Seealgen 88 %), Chili, Fruktose, Marinade ( Sesamöl, Sojasauce - (Sojabohnen,Weizen, Salz, Zucker), Essig, Wasser, Farbstoffe (E100,133))], Sushisoße (Sojasauce (Sojabohnen, Weizen, Salz, Alkohol, Wasser), Zucker, Wasser, fermentieres Reisgewürz (Reis, Glukose, Glukose-Fructose Sirup, Stärkesirup, Zucker, Alkohol, Salz, Wasser), Reiswein, Branntweinessig, Hefeextrakt, modifizierte Maisstärke, Farbstoff: E 150a), 10%, Mayonnaise (Sonnenblumenöl, Wasser, Eigelb, Essig, Salz, Dextrose), Sriracha (Chili 51% Zucker, Knoblauch, Salz, Wasser, Säuerungsmittel: E330, E260, Geschmacksverstärker E621, Verdickungsmitteln E415, Konservierungsstoff E202), Röstzwiebeln 2 % (Zwiebeln (72%), nachhaltiges Palmöl, Buchweizen, Reisstärke, Salz), Frischkäse 15% (Molkenerzeugnisse aus Milch), Speisesalz, Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
MS06,4260705920317,Ben-Sus-Sta,Selection,20,Lachs,Frischkäse,Avocado,Gurke,Hühnchen,,,,meat,mixed,,3.22,9.99,310,616,146,4.3,1.6,21,4,1.1,5,1.9,"Lachs, Milch",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl); Frischkäse 14% (Molkenerzeugnisse aus Milch), Lachs 10% (Salmo salar), Avocado 25%, Gurke 13%, gebratenes Hähnchenbrustfilet 3% (Hähnchenbrustfilet 99%,Salz, Pfeffer), Avocado 10%, Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
MS07,4260705920324,Ben-Atl-Oce,Selection,11,Lachs,Avocado,,,,,,,meat,sea,,5,10.99,220,688,164,5.9,1.1,19,3.3,1.1,8.1,1.7,"Lachs, Sesamsamen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Lachs 30% (Salmo salar), Avocado 5%, Sesam, Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
MS08,4260705920409,Ben-Tun-mee- Lac,Selection,20,Lachs,Thunfisch,Lachstatar,Thunfischtatar,,,,,meat,sea,,4.66,17.49,375,638,152,4.5,1,19,3.4,0.8,8.7,1.8,"Lachs, Sesamöl, Sesamsamen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Lachs (Salmo salar) 10%, Thunfisch 10%, Lachstatar 7% (Lachs 90%, Thunfischtatar 7% (Thunfisch 90%, Gurke 10%, Avocado 10 %, Salz, Zucker, Sesam, Seamöl, Sriracha (Chili 51%, Zucker, Knoblauch, Salz, Wasser, Säuerungsmittel: E330, E260, Geschmacksverstärker E621, Verdickungsmitteln E415, Konservierungsstoff E202), Shichimi (Chilipfeffer, Orangenschalen, weißer Sesam, schwarzer Sesam, Seetang, japanischer Pfeffer, Ingwer), Avocado 5%, Gurke 5%, Sesam, Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
MS09,4260705920416,Ben-top-wit-lov,Selection,8,Lachs,Avocado,Algensalat,Röstzwiebeln,,,,,meat,sea,,4.64,7.19,155,762,182,7.6,1.9,21,5.4,1.5,6.5,1.9,"Lachs, Sesamsamen, Sojabohnen, Weizen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Lachs 15% (Salmo salar), Avocado 15%, Algensalat 1,5 % [Seealgen 88 %), Chili, Fruktose, Marinade ( Sesamöl, Sojasauce - (Sojabohnen,Weizen, Salz, Zucker), Essig, Wasser, Farbstoffe (E100,133))], Sushisoße (Sojasauce (Sojabohnen, Weizen, Salz, Alkohol, Wasser), Zucker, Wasser, fermentieres Reisgewürz (Reis, Glukose, Glukose-Fructose Sirup, Stärkesirup, Zucker, Alkohol, Salz, Wasser), Reiswein, Branntweinessig, Hefeextrakt, modifizierte Maisstärke, Farbstoff: E 150a), 10%, Mayonnaise (Sonnenblumenöl, Wasser, Eigelb, Essig, Salz, Dextrose), Sriracha (Chili 51% Zucker, Knoblauch, Salz, Wasser, Säuerungsmittel: E330, E260, Geschmacksverstärker E621, Verdickungsmitteln E415, Konservierungsstoff E202), Röstzwiebeln 2 % (Zwiebeln (72%), nachhaltiges Palmöl, Buchweizen, Reisstärke, Salz), Sesam, Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
MS11,4260705920492,Ben-Nig,Selection,6,,Lachs,Thunfisch,Schwertfisch,,,,,meat,sea,TRUE,5.05,8.49,168,582,138,2.9,0.8,19,3.3,0.5,8.6,1.8,Fisch,,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Lachs (Salmo salar) 10%, Thunfisch 8%, Schwertfisch 8%"
MS12,4260705920508,Ben-Nig,Selection,6,,Meeraal,Makrele,Tintenfisch,,,,,meat,sea,TRUE,4.64,7.79,158,582,138,2.9,0.8,19,3.3,0.5,8.6,1.8,"Fisch, Sojabohnen, Weizen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Anago 8% (Meeraal 90%, Marinade (Wasser, Zucker, Sojasauce (Sojabohnen, Wasser, Weizen, Salz), Reiswein, Maissirup, Speisestärke, Verdickungsmittel: E412) Makrele 8% (Makrele 94%, Marinade (Wasser, Reisweinessig, Zucker, Algensaft, Salz), Tintenfisch 8%"
MS13,4260705920478,Ben-Din,Selection,11,Jakobsmuschel,frittierter Garnele,Trüffelcreme,,,,,,meat,sea,TRUE,5,13.99,280,710,170,0.6,0.1,20,3.5,0.9,6.5,1.9,"Eigelb, Fisch, Lachs, Senf, Sesamsamen, Weizen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Tiefseescallops 15%, Lachs 7% Salmo solar), frittierte Garnelen 7% (Garnelen, Weizenmehl, modifizierte Stärke Sojaöl, Salz, Palmöl, Zucker, Hefe, Verdickungsmittel: E412, Stabilisatoren: E451, E452, Emulgator: E471, Gewürzextrakt), Avocado 8%, Mayonnaise (Sonnenblumenöl, Wasser, Eigelb, Essig, Salz, Dextrose), Sriracha (Chili 51%, Zucker, Knoblauch, Salz, Wasser, Säuerungsmittel: E330, E260, Geschmacksverstärker E621, Verdickungsmitteln E415, Konservierungsstoff E202), Zucker, Shichimi (Chilipfeffer, Orangenschalen, weißer Sesam, schwarzer Sesam, Seetang, japanischer Pfeffer, Ingwer), Sesam, Gurke 3%, Creme (Sonnenblumenöl, Wasser, modifizierte Stärke, Brandweinessig, Zucker, Salz, Gewürzextrakt, Trüffelaroma (1%), Senfsaat, Steinpilze, Sommertrüffel (Tuber aestvum) (0,1%)), Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
MS14,4260705920577,Ben-Lux-Isl,Selection,49,Jakobsmuschel,Lachs,Avocado,scharfes Lachstatar,Trüffelcreme,Meeraal,gegrilltem Tintenfisch,frittierte Garnele,meat,sea,TRUE,5.33,63.99,1200,685,164,7.2,1.1,16,3,1,7.7,1.6,"Fisch, Lachs, Sesamöl, Sesamsamen, Sojabohnen, Tintenfisch, Weizen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Lachs 15% (Salmo salar), Avocado 8%, frittierte Garnelen 4% (Garnelen, Weizenmehl, modifizierte Stärke Sojaöl, Salz, Palmöl, Zucker, Hefe, Verdickungsmittel: E412, Stabilisatoren: E451, E452, Emulgator: E471, Gewürzextrakt), Gurke 4%, Jakobsmuscheln 6% (Tiefseescallops), Tintenfisch 2%, Anago 2% (Meeraal 90%, Marinade (Wasser, Zucker, Sojasauce (Sojabohnen, Wasser, Weizen, Salz), Reiswein, Maissirup, Speisestärke, Verdickungsmittel: E412), Lachstatar 4% (Lachs 90% (Salmo salar), Salz, Zucker, Sesam, Seamöl, Sriracha (Chili 51%, Zucker, Knoblauch, Salz, Wasser, Säuerungsmittel: E330, E260, Geschmacksverstärker E621, Verdickungsmitteln E415, Konservierungsstoff E202), Shichimi (Chilipfeffer, Orangenschalen, weißer Sesam, schwarzer Sesam, Seetang, japanischer Pfeffer, Ingwer)), Mayonnaise (Sonnenblumenöl, Wasser, Eigelb, Essig, Salz, Dextrose), Sriracha (Chili 51%, Zucker, Knoblauch, Salz, Wasser, Säuerungsmittel: E330, E260, Geschmacksverstärker E621, Verdickungsmitteln E415, Konservierungsstoff E202), Zucker, Shichimi (Chilipfeffer, Orangenschalen, weißer Sesam, schwarzer Sesam, Seetang, japanischer Pfeffer, Ingwer), Sesam, Trüffelcreme (Sonnenblumenöl, Wasser, modifizierte Stärke, Brandweinessig, Zucker, Salz, Gewürzextrakt, Trüffelaroma (1%), Senfsaat, Steinpilze, Sommertrüffel (Tuber aestvum) (0,1%)), Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
MS41,4260705920522,Ura Maki,,8,frittierter Garnele,,,,,,,,meat,sea,TRUE,3.93,6.49,165,763,182,8,1.6,23,4.4,1.3,3.8,2,"Eigelb, Fisch, Sesamsamen, Weizen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), frittierte Garnelen 24% (Garnelen, Weizenmehl, modifizierte Stärke Sojaöl, Salz, Palmöl, Zucker, Hefe, Verdickungsmittel: E412, Stabilisatoren: E451, E452, Emulgator: E471, Gewürzextrakt), Avocado 10%, Mayonnaise (Sonnenblumenöl, Wasser, Eigelb, Essig, Salz, Dextrose), Sriracha (Chili 51%, Zucker, Knoblauch, Salz, Wasser, Säuerungsmittel: E330, E260, Geschmacksverstärker E621, Verdickungsmitteln E415, Konservierungsstoff E202), Zucker, Shichimi (Chilipfeffer, Orangenschalen, weißer Sesam, schwarzer Sesam, Seetang, japanischer Pfeffer, Ingwer), Sesam, Algen Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
MS42,4260705920539,Ura Maki,Kunsprig,8,Schwertfisch,Avocado,Gurke,Röstzwiebeln,,,,,meat,sea,TRUE,4.21,7.99,190,668,159,4.3,2.4,23,6.8,1.5,6,2,"Eigelb, Fisch, Sesamsamen, Sojabohnen",TRUE,,"Reiszubereitung (Reis, Wasser, Essig, Zucker, Salz, Zitronensaft, Sonnenblumenöl), Schwertfisch 13 %, Röstzwiebeln 10 % (Zwiebeln (72%), nachhaltiges Palmöl, Buchweizen, Reisstärke, Salz), Avocado 10 %, Gurke 10 %, Mayonnaise (Sonnenblumenöl, Wasser, Eigelb, Essig, Salz, Dextrose), Sriracha (Chili 51%, Zucker, Knoblauch, Salz, Wasser, Säuerungsmittel: E330, E260, Geschmacksverstärker E621, Verdickungsmitteln E415, Konservierungsstoff E202), Zucker, Shichimi (Chilipfeffer, Orangenschalen, weißer Sesam, schwarzer Sesam, Seetang, japanischer Pfeffer, Ingwer), Sesam, Sushisoße (Sojasauce (Sojabohnen, Weizen, Salz, Alkohol, Wasser), Zucker, Wasser, fermentieres Reisgewürz (Reis, Glukose, Glukose-Fructose Sirup, Stärkesirup, Zucker, Alkohol, Salz, Wasser), Reiswein, Branntweinessig, Hefeextrakt, modifizierte Maisstärke, Farbstoff: E 150a), Algen. Kann Spuren von Meeresfrüchten, Fisch und Sesam enthalten."
MZ01,4260705920362,Ler-St,tool,1,,,,,,,,,,,,,2.99,,,,,,,,,,,,,,"tool made out of plastic "
M.30,4260705920386,See-sal,,1,100g,,,,,,,,veg,,,3.49,3.49,100,,,,,,,,,,,,,
